underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct,implied_vol,iv_solved,iv_message,delta,gamma,vega,theta,rho
USO,120.17,call,102.1,2026-08-14,18.52,19.12,18.73,108,623,0.0,0.045,30,0.0821917808219178,0.8496296912706998,18.82,0.0318809776833156,0.3907887663510379,True,ok,0.9386477015089612,0.009003559878147823,0.04176157225267195,-0.03878616393172364,0.07724161175036423
USO,120.17,call,108.2,2026-08-14,13.24,13.62,13.44,185,878,0.0,0.045,30,0.0821917808219178,0.9003911125904968,13.43,0.0282948622486968,0.38285963977120013,True,ok,0.8518765042712859,0.017528706920414756,0.07965443815961729,-0.061792654587121056,0.07310136947004693
USO,120.17,call,114.2,2026-08-14,8.75,8.96,8.84,279,1327,0.0,0.045,30,0.0821917808219178,0.9503203794624282,8.855,0.0237154150197629,0.37593807465825957,True,ok,0.7125989760862033,0.026317480625212768,0.11743056146895807,-0.0830434818018433,0.06310522107141638
USO,120.17,call,120.2,2026-08-14,5.21,5.31,5.25,404,1990,0.0,0.045,30,0.0821917808219178,1.0002496463343598,5.26,0.0190114068441063,0.3682630085417048,True,ok,0.5340509124301513,0.03132967666608049,0.13694132393232292,-0.09131443369640456,0.048424847476014714
USO,120.17,call,126.2,2026-08-14,2.73,2.8,2.76,269,1245,0.0,0.045,30,0.0821917808219178,1.050178913206291,2.765,0.0253164556962024,0.3606584130707598,True,ok,0.3497306770749229,0.029801743855007085,0.12757284994929835,-0.08152424026877068,0.03227025052927012
USO,120.17,call,132.2,2026-08-14,1.25,1.28,1.26,194,931,0.0,0.045,30,0.0821917808219178,1.1001081800782224,1.265,0.0237154150197628,0.3531863486036129,True,ok,0.19624764934706218,0.022746698706860986,0.09535485204257373,-0.05888159746971977,0.018343627414194298
USO,120.17,call,138.2,2026-08-14,0.49,0.51,0.5,118,564,0.0,0.045,30,0.0821917808219178,1.1500374469501538,0.5,0.04,0.3465137191937375,True,ok,0.093368019927001,0.01397822488158795,0.057490087498533106,-0.034523488069788125,0.008810986733141972
USO,120.17,call,144.2,2026-08-14,0.15,0.17,0.16,84,405,0.0,0.045,30,0.0821917808219178,1.1999667138220853,0.16,0.1250000000000001,0.3369660357962112,True,ok,0.03589795061390226,0.006795727665522063,0.02717957164019564,-0.015776440174526497,0.0034141288275560764
USO,120.17,call,102.1,2026-08-29,19.1,19.72,19.4,113,591,0.0,0.045,45,0.1232876712328767,0.8496296912706998,19.41,0.0319422977846469,0.38715462581534477,True,ok,0.9044810374491883,0.010388094436139883,0.07160314752538725,-0.04180896199627186,0.11007306676947166
USO,120.17,call,108.2,2026-08-29,14.09,14.49,14.31,185,887,0.0,0.045,45,0.1232876712328767,0.9003911125904968,14.29,0.0279916025192442,0.37894157172824366,True,ok,0.8150909322431943,0.016689207903551048,0.11259516679991419,-0.05772194823269785,0.10314182148072022
USO,120.17,call,114.2,2026-08-29,9.82,10.06,9.92,265,1281,0.0,0.045,45,0.1232876712328767,0.9503203794624282,9.94,0.0241448692152917,0.37158084734769825,True,ok,0.6908685302610891,0.022473959956786027,0.1486773100951012,-0.07039411463059829,0.090100692233603
USO,120.17,call,120.2,2026-08-29,6.37,6.5,6.41,405,2045,0.0,0.045,45,0.1232876712328767,1.0002496463343598,6.4350000000000005,0.0202020202020201,0.3643181540058568,True,ok,0.5419625414166438,0.025808454346664695,0.16739966326822042,-0.07499911880681027,0.07236078470054602
