underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct,implied_vol,iv_solved,iv_message,delta,gamma,vega,theta,rho
XLE,56.95,call,45.6,2026-08-14,11.2,11.61,11.36,94,360,0.0277,0.045,30,0.0821917808219178,0.800702370500439,11.405,0.035949145111793,0.3344205288421254,True,ok,0.9891137857327883,0.004281813119925233,0.003817125904208145,-0.0033913353111296504,0.03692468225767496
XLE,56.95,call,48.4,2026-08-14,8.53,8.81,8.69,115,615,0.0277,0.045,30,0.0821917808219178,0.8498683055311677,8.67,0.0322952710495964,0.32029268903099595,True,ok,0.964397625575975,0.014187540387770895,0.012113509480939824,-0.008000716837999309,0.03801570800581159
XLE,56.95,call,51.3,2026-08-14,5.91,6.08,5.97,178,878,0.0277,0.045,30,0.0821917808219178,0.9007901668129936,5.995,0.0283569641367806,0.31391478398161404,True,ok,0.8870795804172407,0.03681836391153104,0.030810028678287516,-0.017774900400084923,0.03659521819757609
XLE,56.95,call,54.1,2026-08-14,3.69,3.78,3.75,293,1318,0.0277,0.045,30,0.0821917808219178,0.9499561018437226,3.735,0.0240963855421686,0.30566045015196275,True,ok,0.739145574182863,0.06474125442609215,0.05275166909117389,-0.02840817504596204,0.03152822427072581
XLE,56.95,call,57.0,2026-08-14,1.93,1.97,1.95,364,2021,0.0277,0.045,30,0.0821917808219178,1.0008779631255489,1.95,0.0205128205128205,0.2978445394280684,True,ok,0.5183864774038874,0.08175247060249634,0.06490921778858302,-0.033380282961398194,0.02266200812259629
XLE,56.95,call,59.8,2026-08-14,0.85,0.87,0.86,257,1306,0.0277,0.045,30,0.0821917808219178,1.0500438981562774,0.86,0.0232558139534883,0.29075269330683745,True,ok,0.29838667279302666,0.07297292669695411,0.05655895258448362,-0.02810717967447957,0.01326009969491875
XLE,56.95,call,62.6,2026-08-14,0.29,0.31,0.3,169,887,0.0277,0.045,30,0.0821917808219178,1.0992098331870062,0.3,0.0666666666666667,0.28277608203832133,True,ok,0.1334704729053438,0.04662710898191857,0.03514770792023514,-0.01688817230336832,0.006000939811055626
XLE,56.95,call,65.5,2026-08-14,0.07,0.09,0.08,134,614,0.0277,0.045,30,0.0821917808219178,1.1501316944688322,0.08,0.2499999999999998,0.2773671558029789,True,ok,0.04433311312395162,0.02067142594629636,0.015284150878851351,-0.00717533996975957,0.0020094006614768847
XLE,56.95,call,45.6,2026-08-29,11.25,11.67,11.41,83,426,0.0277,0.045,45,0.1232876712328767,0.800702370500439,11.46,0.0366492146596858,0.32320908486800815,True,ok,0.9756897071364936,0.007772502622426458,0.010045037050639617,-0.004828162944457705,0.05437667947861611
XLE,56.95,call,48.4,2026-08-29,8.66,8.94,8.79,106,617,0.0277,0.045,45,0.1232876712328767,0.8498683055311677,8.8,0.0318181818181817,0.3163538590100095,True,ok,0.9349271080864069,0.019223458155202,0.024317098800865234,-0.009986257398176459,0.05479409442573496
