Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2026-02-09,XLY,117.43000030517578,118.20999908447266,116.4000015258789,117.55000305175781,117.0810317993164,10975700
2026-02-10,XLY,117.76000213623047,119.22000122070312,117.69999694824219,118.33000183105469,117.85791778564453,9920700
2026-02-11,XLY,118.44999694824219,118.87999725341797,117.29000091552734,117.76000213623047,117.29019927978516,10214100
2026-02-12,XLY,118.41000366210938,119.19999694824219,115.83000183105469,116.12999725341797,115.66669464111328,16374300
2026-02-13,XLY,116.0,117.1500015258789,115.52999877929688,116.18000030517578,115.71649932861328,10836200
2026-02-17,XLY,115.9800033569336,116.31999969482422,114.43000030517578,116.04000091552734,115.57705688476562,9623000
2026-02-18,XLY,116.11000061035156,117.76000213623047,115.94000244140625,117.0199966430664,116.55313873291016,9719500
2026-02-19,XLY,116.33000183105469,116.55000305175781,115.58000183105469,116.23999786376953,115.77625274658203,9482400
2026-02-20,XLY,115.93000030517578,117.6500015258789,115.61000061035156,117.44999694824219,116.9814224243164,16652900
2026-02-23,XLY,116.63999938964844,116.7699966430664,113.86000061035156,114.98999786376953,114.53124237060547,14604800
2026-02-24,XLY,115.4000015258789,117.05999755859375,115.31999969482422,116.73999786376953,116.27426147460938,11320500
2026-02-25,XLY,116.9800033569336,117.58999633789062,116.51000213623047,117.08999633789062,116.62286376953125,8776100
2026-02-26,XLY,117.2300033569336,117.66000366210938,116.13999938964844,117.05000305175781,116.58302307128906,9560900
2026-02-27,XLY,116.01000213623047,116.94000244140625,115.6500015258789,116.86000061035156,116.39378356933594,9636200
2026-03-02,XLY,114.02999877929688,115.7300033569336,113.72000122070312,115.41999816894531,114.95952606201172,18205600
2026-03-03,XLY,113.0999984741211,114.7699966430664,111.80999755859375,114.36000061035156,113.90375518798828,20773100
2026-03-04,XLY,115.08999633789062,116.62999725341797,114.87999725341797,116.38999938964844,115.9256591796875,11496700
2026-03-05,XLY,115.91999816894531,117.08000183105469,115.5199966430664,116.55000305175781,116.08502960205078,14880400
2026-03-06,XLY,114.77999877929688,114.98999786376953,113.63999938964844,114.44000244140625,113.98343658447266,16348500
2026-03-09,XLY,112.94000244140625,114.93000030517578,110.98999786376953,114.58999633789062,114.1328353881836,16278500
2026-03-10,XLY,114.61000061035156,115.7300033569336,113.94999694824219,114.44000244140625,113.98343658447266,11784400
2026-03-11,XLY,114.83000183105469,115.69999694824219,113.56999969482422,114.13999938964844,113.68463134765625,10959300
2026-03-12,XLY,113.12000274658203,113.43000030517578,111.47000122070312,111.5199966430664,111.07508850097656,12088200
2026-03-13,XLY,112.16999816894531,112.48999786376953,110.72000122070312,110.86000061035156,110.417724609375,11708600
2026-03-16,XLY,111.79000091552734,112.87000274658203,111.62000274658203,112.19999694824219,111.75237274169922,9307600
2026-03-17,XLY,112.77999877929688,113.6500015258789,112.72000122070312,113.18000030517578,112.72846221923828,6767000
2026-03-18,XLY,112.5,112.98999786376953,110.44000244140625,110.56999969482422,110.12887573242188,10979200
2026-03-19,XLY,109.62999725341797,110.33999633789062,108.87000274658203,109.69999694824219,109.26234436035156,12496400
2026-03-20,XLY,109.43000030517578,109.43000030517578,107.1500015258789,107.73999786376953,107.31016540527344,12297000
2026-03-23,XLY,109.77999877929688,111.43000030517578,109.58999633789062,110.12000274658203,109.90100860595703,14779100
2026-03-24,XLY,109.04000091552734,110.31999969482422,108.94999694824219,109.68000030517578,109.46187591552734,9032200
2026-03-25,XLY,111.16000366210938,111.91000366210938,110.0999984741211,110.7300033569336,110.50979614257812,9412900
2026-03-26,XLY,110.05000305175781,110.9000015258789,108.73999786376953,108.83000183105469,108.61357116699219,7981000
2026-03-27,XLY,108.30999755859375,108.30999755859375,105.44999694824219,105.68000030517578,105.46983337402344,10454700
2026-03-30,XLY,106.61000061035156,107.16999816894531,105.19000244140625,105.66000366210938,105.44987487792969,10192000
2026-03-31,XLY,107.2300033569336,109.41000366210938,106.70999908447266,108.9800033569336,108.76327514648438,19487500
2026-04-01,XLY,109.69000244140625,110.5,108.73999786376953,109.80000305175781,109.5816421508789,14467600
2026-04-02,XLY,107.45999908447266,109.52999877929688,107.0999984741211,108.1500015258789,107.93492126464844,9684700
2026-04-06,XLY,107.93000030517578,109.2300033569336,107.93000030517578,109.04000091552734,108.82315063476562,6908800
2026-04-07,XLY,108.11000061035156,108.18000030517578,106.44999694824219,107.7699966430664,107.55567169189453,8956400
2026-04-08,XLY,112.25,112.61000061035156,110.27999877929688,110.81999969482422,110.599609375,14442400
2026-04-09,XLY,110.81999969482422,112.88999938964844,110.4000015258789,112.73999786376953,112.51579284667969,6660500
2026-04-10,XLY,113.0,113.45999908447266,112.23999786376953,112.88999938964844,112.66549682617188,5607400
